
"Slat coords (x,y)"
0.154236,0.07264879314927873,0.0
0.1486420297773295,0.07137821933026599,0.0
0.14304805955465896,0.07010764551125324,0.0
0.13745408933198844,0.0688370716922405,0.0
0.13188368485907803,0.06746882409182348,0.0
0.126325776238209,0.06604878449950398,0.0
0.12076786761733997,0.0646287449071845,0.0
0.11520995899647095,0.06320870531486501,0.0
0.10969358782832105,0.061635743539645634,0.0
0.10418102305212736,0.06004876834451693,0.0
0.09866845827593367,0.05846179314938822,0.0
0.09317914526275452,0.05679875433822531,0.0
0.08772145995780911,0.05503225163687779,0.0
0.08226377465286369,0.05326574893553028,0.0
0.07681835667319484,0.05146348925257475,0.0
0.07142567817321593,0.04950750375223217,0.0
0.06603299967323703,0.047551518251889587,0.0
0.06065920326077492,0.04554661622343636,0.0
0.055350930276815834,0.04337196714612405,0.0
0.05004265729285673,0.04119731806881173,0.0
0.04479569111315849,0.038882978945133775,0.0
0.03960152053177933,0.03644834290391112,0.0
0.03442970331913271,0.03396970553416881,0.0
0.02940035238725363,0.03121063143482093,0.0
0.024375492229724884,0.02844406234135381,0.0
0.01957043133349251,0.025310653580086988,0.0
0.014834905433653244,0.02208193112582347,0.0
0.010384149328373019,0.018462866222703316,0.0
0.0062871048179110375,0.014465266471664292,0.0
0.002848329096960439,0.009929486283045184,0.0
0.0007122350693398853,0.004685331488982083,0.0
0.00021518838825235876,-0.0009738005240526111,0.0
0.0021168227702488785,-0.00630697076247976,0.0
0.005602957670511305,-0.010794041040896964,0.0
0.010015924344954907,-0.014421355739599519,0.0
0.014989390937727885,-0.017279937683895755,0.0
0.020240645392463667,-0.01957435620439881,0.0
0.025571949823694245,-0.021683259113969844,0.0
0.03103450383929969,-0.02343464836490136,0.0
0.03652017338958878,-0.025106155325111568,0.0
0.04207388000639559,-0.026542540891775733,0.0
0.04762800958587318,-0.027977130996873965,0.0
0.053238888352647375,-0.029170822810638115,0.0
0.058849767119421616,-0.030364514624402275,0.0
0.0644768520654743,-0.03147566898020402,0.0
0.07012251766838168,-0.03249219275357741,0.0
0.07577155953741685,-0.033486857702216065,0.0
0.08146386042782457,-0.034195898549926856,0.0
0.08717111882196016,-0.034770743472499,0.0
0.09289646972791832,-0.0351107870221814,0.0
0.09862912077523342,-0.035037424541574304,0.0
0.10424759606183606,-0.03398734619100005,0.0
0.10827997230698992,-0.030213110358360405,0.0
0.1083912008589049,-0.024538015453267937,0.0
0.10712681759468878,-0.018944871389123787,0.0
0.10568437976534607,-0.013392779297084179,0.0
0.1044396892339743,-0.0077938238958864805,0.0
0.10357656251328154,-0.002124647926914842,0.0
0.10322488858317996,0.0035983246133089357,0.0
0.10346534473414892,0.009326361525207591,0.0
0.10436195710177128,0.014988461477030875,0.0
0.10589594657052659,0.02051151725305688,0.0
0.10803827490776148,0.025828447905330166,0.0
0.11073037611418671,0.03088970555059051,0.0
0.11389690573043201,0.035669096839076195,0.0
0.11745884517059743,0.04016305922609054,0.0
0.12137528145457883,0.04435257422183591,0.0
0.12556276011492631,0.04827065206600535,0.0
0.12998612600098663,0.05192135547562098,0.0
0.13459619473079598,0.05533343065565752,0.0
0.13938255858553927,0.05849393815932767,0.0
0.1442985620773193,0.06144865604584346,0.0
0.14932798918539367,0.06420634102134842,0.0
0.154236,0.06691234296805298,0.0
0.154236,0.07264879314927873,0.0

"Main coords (x,y,z)"
0.7679134,0.056256,0.0
0.7586303776579468,0.058091041995343436,0.0
0.7493473553158937,0.05992608399068687,0.0
0.7400630068178534,0.061754265299872796,0.0
0.7307648340509588,0.06351092864972399,0.0
0.7214666612840641,0.06526759199957519,0.0
0.7121670558910895,0.06701644070643986,0.0
0.7028504130843805,0.06867235427300276,0.0
0.6935337702776714,0.07032826783956567,0.0
0.6842171274709622,0.07198418140612857,0.0
0.674880754251326,0.07352489136212827,0.0
0.6655440476032345,0.07506365446774782,0.0
0.6562073409551431,0.07660241757336737,0.0
0.6468543740238251,0.07803820131603699,0.0
0.637497790423113,0.07945108002654881,0.0
0.6281412068224009,0.08086395873706062,0.0
0.6187729714283631,0.08219567119721767,0.0
0.6093967810666889,0.0834719694497355,0.0
0.6000205907050148,0.08474826770225335,0.0
0.5906382816470607,0.08597682185932236,0.0
0.5812432585809412,0.08710616880106034,0.0
0.5718482355148217,0.08823551574279834,0.0
0.562452816557679,0.08936132195826994,0.0
0.5530403713736363,0.09033485089216059,0.0
0.5436279261895935,0.09130837982605124,0.0
0.5342154810055508,0.09228190875994188,0.0
0.5247917236482734,0.09313540869223934,0.0
0.5153631269254573,0.0939375600284789,0.0
0.505934530202641,0.09473971136471847,0.0
0.49650061022445313,0.09547073526834132,0.0
0.4870576489130229,0.09608095211386643,0.0
0.4776146876015926,0.09669116895939153,0.0
0.46817120630191295,0.09729163590986409,0.0
0.45871690689996836,0.09768926104252325,0.0
0.44926260749802377,0.09808688617518241,0.0
0.43980830809607924,0.09848451130784155,0.0
0.43034879166224294,0.09870398201950427,0.0
0.4208874252569836,0.0988602787666257,0.0
0.4114260588517242,0.09901657551374714,0.0
0.4019644450129218,0.09904631730711497,0.0
0.3925025397775149,0.0989270183385042,0.0
0.38304063454210807,0.09880771936989345,0.0
0.37358024792749833,0.09863099674279865,0.0
0.3641252629622135,0.09825002137093299,0.0
0.3546702779969286,0.09786904599906732,0.0
0.3452156425362107,0.09748140078711971,0.0
0.33577262164426275,0.09687210663651064,0.0
0.3263296007523148,0.09626281248590157,0.0
0.3168865798603669,0.0956535183352925,0.0
0.30745784121508024,0.09485553897497832,0.0
0.2980306978515782,0.09403648407345314,0.0
0.28860355448807623,0.09321742917192795,0.0
0.2791929156095221,0.09222933506397252,0.0
0.26978538282881603,0.09120942825074296,0.0
0.26037785004811,0.09018952143751341,0.0
0.25099111404523194,0.08899523338277535,0.0
0.2416075784659535,0.08777410973623202,0.0
0.23222404288667509,0.08655298608968871,0.0
0.22286940424837717,0.08512750873308193,0.0
0.2135151951622281,0.08369899366479004,0.0
0.20421833657601687,0.08196189154704507,0.0
